Date,Price
2026-09-06T00:00:00Z,80144.83648148148
2026-09-06T12:00:00Z,80049.86759259259
2026-09-07T00:00:00Z,79901.85388888889
2026-09-07T12:00:00Z,79591.77603703704
2026-09-08T00:00:00Z,79027.11877777778
2026-09-08T12:00:00Z,78495.6012962963
2026-09-09T00:00:00Z,78429.69066666668
2026-09-09T12:00:00Z,78388.0861851852
2026-09-10T00:00:00Z,78212.62996296295
2026-09-10T12:00:00Z,77539.56918518517
2026-09-11T00:00:00Z,76900.93503703702
2026-09-11T12:00:00Z,76585.6059259259
2026-09-12T00:00:00Z,76655.50859259258
2026-09-12T12:00:00Z,76900.04774074075
2026-09-13T00:00:00Z,76963.0931851852
2026-09-13T12:00:00Z,76897.25185185186
2026-09-14T00:00:00Z,77057.79633333333
2026-09-14T12:00:00Z,77504.97503703705
2026-09-15T00:00:00Z,77636.05366666666
2026-09-15T12:00:00Z,77081.798
2026-09-16T00:00:00Z,76386.90662962962
2026-09-16T12:00:00Z,75876.80951851852
2026-09-17T00:00:00Z,75811.97870370369
2026-09-17T12:00:00Z,75988.53248148148
2026-09-18T00:00:00Z,76680.45011111112
2026-09-18T12:00:00Z,78350.28862962963
2026-09-19T00:00:00Z,80308.00277777779
2026-09-19T12:00:00Z,81821.21403703703
2026-09-20T00:00:00Z,82244.76496296294
2026-09-20T12:00:00Z,82087.6902962963
2026-09-21T00:00:00Z,82855.89007407408
